AdminID,AdminName,JAname,YTcustomURL,TwitchName,color0,mark0
CVHLPR2016061300,Motoaki Tanigo,谷郷 元昭,tanigox,,,
CVHLHL2022040101,Harusaki Nodoka,春先のどか,,,,x1f4dd
CVHLHL2017090701,Friend-A,友人A（えーちゃん）,,,,x1f453
CVHLHS2019080100,Daidou Shinove,大道シノヴ,,,,
CVHLHL2020090900,CVHLHL2020090900,CVHLHL2020090900,,,,
CVHLHL2018110800,hololive (JP) official,ホロライブ (公式チャンネル),hololive,,#27c7ff,
CVHLHL2020062900,hololive Indonesia official,ホロライブインドネシア (公式チャンネル),hololiveIndonesia,,#ff7c4d,
CVHLHL2020090906,hololive English official,ホロライブEnglish (公式チャンネル),hololiveEnglish,,#c283b6,
CVHLHS2019101701,HOLOSTARS (JP) official,ホロスターズ (公式チャンネル),HOLOSTARS,,#616aff,
CVHLHS2022071500,HOLOSTARS English official,ホロスターズEnglish (公式チャンネル),HOLOSTARSenglish,,#a055d2,
CVHLHL2023082700,hololive DEV_IS official,hololive DEV_IS (公式チャンネル),hololiveDEV_IS,,#ffffff,
CVHLHL2019120100,Hoshimachi Suisei,星街すいせい,HoshimachiSuisei,,#2dcde4,9732:65039
CVHLHL2018122500,Sakura Miko,さくらみこ,SakuraMiko,sakuramiko_hololive,#fe4b74,127800
CVHLHL2017090700,Tokino Sora,ときのそら,TokinoSora,,#0146ea,128059:128191
CVHLHL2018030400,Robocosan,ロボ子さん,Robocosan,robocosan_hololive,#804e7f,129302
CVHLHL2022040100,AZKi,AZKi,AZKi,,#d11c76,9874:65039
CVHLHS2019060300,Hanasaki Miyabi,花咲みやび,HanasakiMiyabi,,#ff2f3f,x1F33A
CVHLHS2019060301,Kagami Kira,鏡見キラ,KagamiKira,,#00efef,x1F499
CVHLHS2019060302,Kanade Izuru,奏手イヅル,KanadeIzuru,,#233ba4,x1F3B8
CVHLHS2019090100,Arurandeisu,アルランディス,Arurandeisu,,#2f6f4f,x1F355
CVHLHS2019090200,CVHLHS2019090200,CVHLHS2019090200,,,,
CVHLHS2019101700,Rikka,律可,rikka,,#eab3b8,x2699
CVHLHL2018050300,Yozora Mel,夜空メル,YozoraMel,,#ffc004,127775
CVHLHL2018060100,Aki Rosenthal,アキ・ローゼンタール,AkiRosenthal,,#dc0485,127822
CVHLHL2018060101,Shirakami Fubuki,白上フブキ,ShirakamiFubuki,,#53c7ea,127805
CVHLHL2018060102,Natsuiro Matsuri,夏色まつり,NatsuiroMatsuri,,#ff5606,127982
CVHLHL2018060103,CVHLHL2018060103,CVHLHL2018060103,,,,
CVHLHL2018060200,Akai Haato,赤井はあと,AkaiHaato,akaihaato_hololive,#d9062a,10084:65039:x2764:xfe0f:x200d:x1f525
CVHLHS2019120400,Astel Leda,アステル・レダ,AstelLeda,,#0047ab,x1F3AD
CVHLHS2019120401,Kishido Temma,岸堂天真,KishidoTemma,,#fff799,x1F994:x1F4A8
CVHLHS2019120402,Yukoku Roberu,夕刻ロベル,YukokuRoberu,,#eb6e00,x1F377
CVHLHL2018080800,Minato Aqua,湊あくあ,MinatoAqua,,#fe5dd8,9875:65039
CVHLHL2018081700,Murasaki Shion,紫咲シオン,MurasakiShion,murasakishionch_hololive,#8a54cb,127769
CVHLHL2018082000,Yuzuki Choco,癒月ちょこ,YuzukiChoco,,#dc5686,128139
CVHLHL2018090300,Nakiri Ayame,百鬼あやめ,NakiriAyame,nakiriayame_hololive,#ca223a,128520
CVHLHL2018091600,Oozora Subaru,大空スバル,OozoraSubaru,,#bde717,128657
CVHLHS2020042700,CVHLHS2020042700,CVHLHS2020042700,TsukishitaKaoru,,,x1F485
CVHLHS2020042701,Kageyama Shien,影山シエン,KageyamaShien,,#7a559b,x1F7E3
